pub_date	title	venue	excerpt	citation	url_slug	paper_url
2017-05-25	A comparative study of the use of local directional pattern for texture-based informal settlement classification	Journal of Applied Research and Technology	local directional pattern for texture-based informal settlement classification	Abuobayda Shabat,  Jules-Raymond Tapamo. (2017). "A comparative study of the use of local directional pattern for texture-based informal settlement classification." <i>Journal of Applied Research and Technology</i>. 1(1).	local-directional-pattern-for-texture-based-informal-settlement-classification	https://core.ac.uk/download/pdf/323381267.pdf#page=40
2017-08-22	An Improved Scheme of Local Directional Pattern for Texture Analysis with an Application to Facial Expressions	Springer	Local Directional Pattern for Texture Analysis with an Application to Facial Expressions	Abuobayda Shabat,  Jules-Raymond Tapamo. (2017). "An Improved Scheme of Local Directional Pattern for Texture Analysis with an Application to Facial Expressions." <i>Springer</i>. 1(1).	An-Improved-Scheme-of-Local-Directional-Pattern-for-Texture-Analysis-with-an-Application-to-Facial-Expressions	https://link.springer.com/chapter/10.1007/978-3-319-64698-5_15
